POI Name,Category,Address,Latitude,Longitude,Station Name
Kingyo Izakaya 金魚居酒屋,Sushi Restaurant,871 Denman St,49.290643,-123.136956,Station 1
Peaked Pies,Australian Restaurant,975 Denman St,49.28964,-123.138493,Station 1
Tavola,Italian Restaurant,1829 Robson St,49.291843,-123.135761,Station 1
Joe's Grill,Restaurant,948 Denman St,49.28981,-123.137615,Station 1
Blenz Coffee,Coffee Shop,935 Denman St,49.290242,-123.137571,Station 1
Banana Leaf,Malay Restaurant,1096 Denman St,49.288276,-123.139917,Station 1
Brandon & Joanny's NOFRILLS Vancouver,Grocery Store,1030 Denman St,49.28869059393502,-123.13914299011232,Station 1
D'oro Gelato e Caffè,Ice Cream Parlor,1094 Denman St,49.288276,-123.139917,Station 1
Delany's Coffee House,Coffee Shop,1105 Denman St,49.288307,-123.140488,Station 1
Stanley Park English Bay Seawall,Hiking Trail,Beach Ave,49.290133,-123.146728,Station 1
Stanley Park Pitch & Putt,Golf Course,1069 Lagoon Dr,49.29303,-123.146571,Station 1
A-maze-ing Laughter,Sculpture Garden,1800 Morton Ave,49.287891,-123.142143,Station 1
Aria Market,Grocery Store,837 Bidwell St,49.290288,-123.134411,Station 1
Dinesty Chinese Restaurant,Shanghai Restaurant,1719 Robson St,49.290752,-123.134045,Station 1
Guu with Garlic,Japanese Restaurant,1698 Robson St,49.290278,-123.133923,Station 1
Dollarama,Discount Store,1779 Comox St,49.288405,-123.138874,Station 1
Nero Belgian Waffle Bar,Dessert Shop,1703 Robson St,49.290654,-123.133874,Station 1
Spokes Bike Rentals,Bicycle Store,1798 Georgia St W,49.292254,-123.133849,Station 1
Hokkaido Ramen Santouka,Ramen Restaurant,1690 Robson St,49.290258,-123.13384,Station 1
Marutama Ra-men,Ramen Restaurant,780 Bidwell St,49.290515,-123.133538,Station 1
Starbucks,Coffee Shop,1795 Davie St,49.287236,-123.141532,Station 1
English Bay Beach,Beach,Beach Ave,49.286311,-123.143487,Station 1
Cactus Club Cafe,Mexican Restaurant,1790 Beach Ave,49.28666,-123.14278,Station 1
CRAFT Beer Market English Bay,Beer Bar,1795 Beach Ave,49.286629,-123.14221,Station 1
Whole Foods,Retail,1675 Robson St,49.290103,-123.132772,Station 1
Eye Kandee Lingerie,Clothing Store,1685 Davie St,49.286089,-123.139811,Station 1
Cardero Bottega,Coffee Shop,1016 Cardero St,49.287092,-123.135598,Station 1
Saku,Japanese Restaurant,1773 Robson St,49.291333,-123.134825,Station 1
Kosoo Restaurant,Korean Restaurant,832 Cardero St,49.289064,-123.132602,Station 1
Outdoor Movies by Fresh Air Cinemas,Arts and Entertainment,N/A,49.294718,-123.148906,Station 1
Sura,Korean Restaurant,1518 Robson St,49.288894,-123.131696,Station 1
Greenhorn Cafe,Café,994 Nicola St,49.286624,-123.133935,Station 1
Second Beach,Beach,8501 Stanley Park Dr,49.295623,-123.150768,Station 1
Pappa Roti,Bakery,1505 Robson St,49.28892,-123.13113,Station 1
Second Beach Pool,Swimming Pool,8501 Stanley Park Dr,49.295495,-123.150919,Station 1
The Inukshuk,Public Art,1700 Beach Ave,49.284303,-123.143552,Station 1
Menya Itto,Ramen Restaurant,1479 Robson St,49.288683,-123.130623,Station 1
Stanley Park Harbourfront Seawall,Landmarks and Outdoors,1999 Georgia St,49.29722,-123.130866,Station 1
H Tasting Lounge,Lounge,1601 Bayshore Dr,49.29228,-123.128821,Station 1
Variety Kids Water Park in Stanley Park,Water Park,715 Stanley Park Dr,49.297761,-123.13148,Station 1
Cardero's Restaurant & Marine Pub,Bar,1583 Coal Harbour Quay,49.291554,-123.127461,Station 1
Cardero Park,Park,N/A,49.292249,-123.12825,Station 1
Ramen Danbo - Robson,Ramen Restaurant,1333 Robson St,49.287499,-123.12898,Station 1
Miko Sushi Japanese Restaurant,Sushi Restaurant,1335 Robson St,49.287422,-123.128893,Station 1
Cora Breakfast & Lunch,Restaurant,1368 Robson St,49.287551,-123.129634,Station 1
Forage,Restaurant,1300 Robson St,49.286995,-123.129181,Station 1
Cafe Villaggio,Café,1506 Coal Harbour Quay,49.291204,-123.127837,Station 1
