POI Name_x,Category_x,Address_x,Latitude,Longitude,POI Name_y,Category_y,Address_y,City,Rating,Review Count
,,,49.2647449,-123.1006898,Como Taperia,Tapas Bars,201 E 7th Avenue,Vancouver,3.7,97.0
,,,49.266224,-123.1006089,Zarak By Afghan Kitchen,Afghan,2102 Main Street,Vancouver,4.5,123.0
,,,49.266709,-123.103814,Blaze Gourmet Burgers,Burgers,43 E 5th Avenue,Vancouver,4.6,36.0
,,,49.26704079691957,-123.09265477054645,Nemesis Coffee,Coffee & Tea,555 Great Northern Way,Vancouver,4.2,104.0
,,,49.26708,-123.10423,Electric Bicycle Brewing,Breweries,20 E 4th Avenue,Vancouver,4.3,36.0
,,,49.26797,-123.10171,Nuba - Mount Pleasant,Mediterranean,146 E 3rd Avenue,Vancouver,3.8,170.0
,,,49.2688895,-123.0811837,The Hide Out Diner,Breakfast & Brunch,101-1951 Glen Drive,Vancouver,4.5,19.0
Beta5 Chocolates,Chocolate Store,413 Industrial Ave,49.269893,-123.095842,,,,,,
,,,49.2702147,-123.1060713,CRAFT Beer Market,Beer Bar,85 W 1st Avenue,Vancouver,3.4,540.0
Starbucks,Coffee Shop,753 Terminal Ave,49.271053,-123.087585,,,,,,
,,,49.2714006565536,-123.10593623668,Gusto A Taste of Italy,Desserts,1610 Salt St,Vancouver,4.2,96.0
,,,49.27142,-123.10129,Johnnie Fox's Irish Pub,Irish,1601 Main Street,Vancouver,3.9,129.0
,,,49.2715389,-123.106136,Tap & Barrel - Olympic Village,American,75 Athletes Way,Vancouver,3.1,495.0
,,,49.2724419,-123.0957108,To Dine For Eatery,Burgers,333 Terminal Avenue,Vancouver,4.3,76.0
Creekside Park,Restaurant,1455 Quebec St,49.274585,-123.102893,,,,,,
,,,49.27548853708847,-123.09968391901442,Bodega On Main,Spanish,1014 Main Street,Vancouver,3.8,231.0
,,,49.27589499983855,-123.09961118220762,Torafuku,Asian Fusion,958 Main Street,Vancouver,3.8,231.0
The Boxcar,Arts and Entertainment,917 Main St,49.276469,-123.100214,,,,,,
Pizzeria Farina,Pizzeria,915 Main St,49.276561,-123.10014,,,,,,
,,,49.27662275332361,-123.10011416319465,Pizzeria Farina,Pizza,915 Main Street,Vancouver,4.2,233.0
,,,49.27776,-123.0981399,Crackle Creme,Desserts,245 Union Street,Vancouver,4.3,290.0
Harvest Community Foods,Gourmet Store,243 Union St,49.27776,-123.098052,,,,,,
The Tuck Shoppe,Bar,237 Union St,49.277791,-123.098623,,,,,,
Phnom Penh,Cambodian Restaurant,244 E. Georgia St,49.278403,-123.098188,,,,,,
,,,49.278431,-123.098205,Phnom Penh,Cambodian,244 E Georgia Street,Vancouver,4.2,1795.0
,,,49.2784351,-123.0992476,Fiorino,Italian,212 E Georgia St,Vancouver,4.1,56.0
,,,49.27845932651142,-123.09813082383894,The Irish Heather Shebeen,Irish,248 E Georgia Street,Vancouver,4.1,257.0
Finch's Market,Coffee Shop,501 Georgia St E,49.278582,-123.093335,,,,,,
,,,49.2786522,-123.0986176,The Ramen Butcher,Ramen,223 E Georgia Street,Vancouver,3.7,405.0
Matchstick Coffee Roasters,Café,213 Georgia St E,49.278692,-123.099348,,,,,,
,,,49.27871720471554,-123.1000357527092,Dalina,Grocery,687 Main Street,Vancouver,4.3,86.0
,,,49.27881,-123.09893,Fat Mao,Asian Fusion,217 E Georgia Street,Vancouver,3.9,255.0
,,,49.2792784082144,-123.097397130932,Oyster Express,Seafood,296 Keefer Street,Vancouver,4.5,171.0
,,,49.2793701,-123.1008339,"Juke Fried Chicken, Ribs and Cocktail Bar",American,182 Keefer Street,Vancouver,3.2,340.0
,,,49.2796095312486,-123.100574596039,Bao Bei Chinese Brasserie,Chinese,163 Keefer Street,Vancouver,3.9,442.0
,,,49.27963,-123.10017,MILA Plant-Based,Vegan,185 Keefer Street,Vancouver,4.3,116.0
,,,49.27969,-123.09752,Addah,Himalayan/Nepalese,555 Gore Avenue,Vancouver,4.6,17.0
,,,49.279716,-123.0999343,Virtuous Pie,Pizza,583 Main Street,Vancouver,4.2,313.0
,,,49.28015,-123.10099,Kosoo Pocha At Sai Woo,Asian Fusion,158 East Pender Street,Vancouver,3.7,184.0
,,,49.280153,-123.101201,New Town Bakery & Restaurant,Bakeries,148 Pender Street E,Vancouver,3.7,438.0
,,,49.2802491373977,-123.097699172795,Manpuku Bento,Japanese,288 E Pender Street,Vancouver,4.5,43.0
,,,49.2802711224293,-123.106226601714,Bali Thai,Indonesian,88 W Pender Street,Vancouver,4.5,101.0
,,,49.280294,-123.1015,Chinatown BBQ,Barbeque,130 E Pender Street,Vancouver,4.4,342.0
,,,49.28042301,-123.09855695,Salt Chinatown,Wine Bars,227 East Pender Street,Vancouver,4.1,512.0
,,,49.2804544,-123.0970391,Barbara,Canadian (New),305 East Pender Street,Vancouver,4.4,26.0
,,,49.280466,-123.0976615,La Boqueria,Wine Bars,291 East Pender,Vancouver,4.3,30.0
,,,49.28048,-123.098438,Kam Wai Dim Sum,Dim Sum,249 E Pender Street,Vancouver,3.9,88.0
,,,49.2804927884879,-123.09908829727,Propaganda Coffee,Cafes,209 E Pender Street,Vancouver,4.0,82.0
,,,49.2805314,-123.1009349,DD Mau Chinatown,Vietnamese,145 E Pender Street,Vancouver,4.2,107.0
,,,49.2806222,-123.09811350061167,Kissa Tanto,Japanese,263 E Pender Street,Vancouver,4.1,313.0
,,,49.28066,-123.10097,Jade Dynasty Restaurant,Dim Sum,137 E Pender Street,Vancouver,3.5,218.0
,,,49.2806799,-123.08023,Pink Pearl Chinese Restaurant,Seafood,1132 E Hastings Street,Vancouver,3.1,167.0
,,,49.28076,-123.08563,The Garden Strathcona,Cafes,868 E Hastings Street,Vancouver,4.7,42.0
,,,49.281004479966,-123.104228199529,Calabash Bistro,Caribbean,428 Carrall Street,Vancouver,4.0,291.0
,,,49.2819071402452,-123.104188653967,PiDGiN,Japanese,350 Carrall Street,Vancouver,4.0,345.0
,,,49.282196,-123.102732,Tekkaba,Sushi Bars,68 E Cordova Street,Vancouver,4.6,28.0
,,,49.28237705581659,-123.10450043738042,Di Beppe,Italian,8 W Cordova Street,Vancouver,4.2,164.0
,,,49.2826548747948,-123.1046559827506,Kozak Ukrainian Restaurant,Ukrainian,1 West Cordova Street,Vancouver,4.5,76.0
,,,49.282678,-123.106049,Sooda Korean BBQ,Korean,60 West Cordova Street,Vancouver,4.6,43.0
,,,49.28278,-123.09194,Dosanko,Japanese,566 Powell Street,Vancouver,3.9,110.0
