Station Name,Latitude,Longitude,Bikes available
Chilco & Barclay,49.291909,-123.140713,10
St George & Broadway,49.262321,-123.09306,4
Britannia Parking Lot,49.275882,-123.071865,0
Morton & Denman,49.28803,-123.142135,15
Thornton & National,49.273777,-123.092723,9
Burrard & 14th,49.259469,-123.145718,2
Olympic Village Station,49.266314,-123.116011,4
8th & Macdonald,49.264928,-123.168068,13
30th & Ontario,49.243375,-123.104978,8
Lakewood & Triumph,49.283968,-123.061615,7
13th & Cambie,49.259579,-123.114769,2
Arbutus & Nanton,49.247854,-123.153422,11
14th & Fraser,49.257939,-123.089531,7
15th & Victoria (Trout Lake),49.256857,-123.065646,2
Robson & Hornby,49.282758,-123.122092,11
Cardero & Robson,49.289255,-123.132677,13
1st & Scotia,49.2685027,-123.0975014,8
10th & Fraser,49.26151,-123.089413,0
Ontario & 5th,49.266724,-123.104824,13
Heather & 16th,49.256845,-123.120071,7
Richards & Smithe,49.279259,-123.119145,8
Robson & Beatty,49.277773,-123.114237,13
Maple Tree Square,49.283482,-123.103738,22
22nd & Main,49.25094,-123.101306,7
Carrall & Seawall,49.276294,-123.106534,6
Charles & Woodland,49.2731,-123.0732,9
1st & Manitoba,49.27023,-123.10651,4
St Catherines & 7th,49.264466,-123.085183,4
Triumph & Victoria,49.283986,-123.065264,5
18th & Main,49.254667,-123.101389,4
St Catherines & 10th,49.261353,-123.085333,3
Nelson & Richards,49.277844,-123.120942,2
Arbutus & 10th,49.262835,-123.152626,1
Comox & Denman,49.288444,-123.139203,7
Prince Edward & 14th,49.258352,-123.096337,8
Alexander & Railway,49.283992,-123.091206,7
Chilco & Beach,49.28972,-123.144028,11
Richards & Cordova,49.284554,-123.111031,14
Orchard Commons,49.259999,-123.250902,11
Strangway Building,49.2661,-123.24568,2
Yew & Broadway,49.263523,-123.155267,2
Woodland & 10th,49.261263,-123.073707,9
Ontario & 16th,49.256825,-123.105234,3
14th & Alder,49.258819,-123.131317,6
Chestnut & McNicoll,49.275938,-123.145939,5
Dunbar & 6th,49.266636,-123.183661,10
Stanley Park - Vancouver Aquarium,49.299292,-123.130281,8
Yaletown-Roundhouse Station,49.274566,-123.121817,2
Smithe & Burrard,49.282503,-123.124697,12
Abbott & Cordova,49.282759,-123.106955,7
Sasamat & 10th,49.264019,-123.209176,12
Vine & 4th,49.268339,-123.157443,3
10th & Ontario,49.262062,-123.104656,4
Pine & 10th,49.262822,-123.14338,5
Wallace & 4th,49.268974,-123.190701,10
Pacific & Richards,49.273663,-123.127075,3
7th &  Alder,49.265198,-123.131043,4
Canada Place,49.287214,-123.11287,16
Heather & 18th,49.255034,-123.120226,5
14th & Oak,49.258761,-123.127071,10
Bute & Comox,49.283343,-123.131099,6
Comox & Broughton,49.285253,-123.134356,3
Station & Terminal,49.272172,-123.097978,11
Stanley Park - Third Beach Parking Lot,49.302577,-123.155616,19
Woodland & 4th,49.266751,-123.073501,7
8th & Ash,49.264215,-123.117772,3
Burrard & Drake,49.27808,-123.130557,3
10th & Kingsway,49.261973,-123.09725,8
10th & Oak,49.262255,-123.126217,1
Hawks & Union,49.277333,-123.087359,3
Marinaside & Cooperage,49.273833,-123.114373,6
Alberni & Jervis,49.28763,-123.127245,17
7th & Arbutus,49.265605,-123.152566,3
14th & Ontario,49.25849,-123.104799,9
King Edward & Cambie,49.249184,-123.116141,0
1st & Fir,49.270783,-123.141564,14
Arbutus & 16th,49.257654,-123.153212,13
War Memorial Gym,49.2665793,-123.2485487,17
28th & Willow,49.246243,-123.124373,8
Arbutus Greenway & Fir,49.266774,-123.141135,1
West Mall Swing Space Building,49.263073,-123.254307,10
McLean & Pender,49.280427,-123.074082,12
Bute & Barclay,49.284893,-123.128685,1
Balsam & Cornwall,49.273011,-123.159663,8
Hastings & Broughton,49.290112,-123.127062,14
Seymour & Cordova,49.28512,-123.11242,12
Alder & 11th,49.261742,-123.13148,4
10th & Columbia,49.262206,-123.109091,9
Heather & 14th,49.259183,-123.120126,6
Commercial & 20th,49.252656,-123.067965,5
Kitsilano Beach Park,49.273355,-123.154493,0
Rolston & Granville,49.274232,-123.129998,8
Cordova & Bute,49.289124,-123.12196,5
12th & Yukon (City Hall),49.260599,-123.113504,3
Blenheim & 4th,49.268837,-123.177633,9
Wylie & 2nd,49.267725,-123.11311,13
Thurlow & Pendrell,49.280881,-123.130672,5
14th & Cambie,49.258763,-123.115392,4
Granville & Georgia,49.282409,-123.118541,5
Grant & Commercial,49.271377,-123.069416,5
8th & Ontario,49.263837,-123.105173,4
Hornby & Nelson,49.28062,-123.12482,5
šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,49.283227,-123.120523,5
Dunsmuir & Beatty,49.279764,-123.110154,10
Robson & Granville,49.281506,-123.120101,13
4th & Commercial,49.266969,-123.069936,0
8th & Scotia,49.263635,-123.099236,9
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,4
7th & Granville,49.2653,-123.13811,2
Harwood & Bute,49.28026,-123.135244,9
Creekside Park North,49.2756,-123.102661,11
Nicola & Robson,49.2885056,-123.1312375,0
10th & Commercial,49.261403,-123.070102,6
10th & Cambie,49.262487,-123.114397,27
Quebec & 1st,49.27033,-123.10275,9
Lakewood & Oxford,49.285575,-123.061575,4
Carolina & Great Northern Way,49.267266,-123.090786,12
Columbia & 5th,49.266476,-123.109389,6
East Blvd & 37th,49.238105,-123.154966,7
Trafalgar & Cornwall,49.272969,-123.164325,18
5th & Arbutus,49.267222,-123.153157,12
Stanley Park - Information Booth,49.297933,-123.130758,8
14th & Main,49.258425,-123.100792,7
Georgia & Main,49.278529,-123.100017,15
Agronomy & East Mall,49.261736,-123.24648,8
Alma & Point Grey,49.27247,-123.185643,1
20th & Main,49.252691,-123.101289,4
Nelson & Mainland,49.276436,-123.11877,5
Point Grey & Blenheim,49.271471,-123.17731,2
Yukon & 6th,49.265939,-123.1129,12
Burrard & 7th,49.265336,-123.145823,3
14th & Granville,49.25894,-123.139272,11
Wall & Eton,49.287464,-123.060771,5
Beach & Cardero,49.283298,-123.142288,14
Cypress & 4th,49.268269,-123.147885,4
Bute & Robson,49.285836,-123.127265,0
Richards & Robson,49.280216,-123.117639,2
Glen & Union,49.277469,-123.081315,11
8th & Yukon,49.263962,-123.112621,9
1st & Chestnut,49.270721,-123.146175,11
10th & Main,49.262141,-123.101961,6
Georgia & Homer,49.280787,-123.115271,4
York & Yew,49.271741,-123.155421,9
Ontario & Seawall,49.271721,-123.104207,7
10th & Granville,49.262598,-123.138921,1
15th & Knight,49.256496,-123.075426,4
Ontario & 23rd,49.249722,-123.104991,3
Dunbar & Broadway,49.264579,-123.18373,10
Carrall & Hastings,49.28117,-123.104419,7
8th & Commercial,49.263242,-123.070521,11
Charleson Park,49.267628,-123.127698,7
Beach & Hornby,49.275295,-123.132585,11
Princess & Union,49.277615,-123.091654,2
3rd & Quebec,49.268216,-123.103168,18
Stanley Park - Second Beach South,49.294318,-123.148808,6
6th & Carolina,49.265213,-123.090785,8
UBC Bookstore,49.265207,-123.250139,5
Balaclava & Broadway,49.264483,-123.173926,11
Expo & Carrall,49.278004,-123.105664,9
Beach & Seymour,49.273568,-123.129935,17
27th & Main,49.247204,-123.101549,10
Stanley Park - Second Beach North,49.29534,-123.150433,13
Keith & 6th,49.265005,-123.079481,6
Jericho Beach,49.271221,-123.191133,2
Point Grey & Bayswater,49.271044,-123.170661,11
7th & Woodland,49.264251,-123.073853,4
Aquatic Centre,49.27821,-123.136972,10
Georgia & Thurlow,49.285953,-123.124066,11
