bike_station_name,poi_name,distance,latitude,longitude
Chilco & Barclay,Kingyo Izakaya 金魚居酒屋,308,49.290643,-123.136956
Chilco & Barclay,Peaked Pies,299,49.28964,-123.138493
Chilco & Barclay,Tavola,354,49.291843,-123.135761
Chilco & Barclay,Joe's Grill,311,49.28981,-123.137615
Chilco & Barclay,Ma Dang Goul,335,49.290927,-123.136088
Chilco & Barclay,Blenz Coffee,298,49.290242,-123.137571
Chilco & Barclay,Zakkushi Japanese Restaurant,356,49.291138,-123.136268
Chilco & Barclay,Banana Leaf,400,49.288276,-123.139917
Chilco & Barclay,Brandon & Joanny's NOFRILLS Vancouver,375,49.28869059393502,-123.13914299011232
Chilco & Barclay,Delany's Coffee House,413,49.288307,-123.140488
Chilco & Barclay,Stanley Park English Bay Seawall,483,49.290133,-123.146728
Chilco & Barclay,Stanley Park Pitch & Putt,429,49.29303,-123.146571
Chilco & Barclay,A-maze-ing Laughter,486,49.287891,-123.142143
Chilco & Barclay,Aria Market,490,49.290288,-123.134411
Chilco & Barclay,Dollarama,411,49.288405,-123.138874
Chilco & Barclay,Guu with Garlic,525,49.290278,-123.133923
Chilco & Barclay,Nero Belgian Waffle Bar,516,49.290654,-123.133874
Chilco & Barclay,Marutama Ra-men,537,49.290515,-123.133538
Chilco & Barclay,Hokkaido Ramen Santouka,542,49.290258,-123.13384
Chilco & Barclay,Cactus Club Cafe,592,49.28666,-123.14278
Chilco & Barclay,English Bay Beach,608,49.286311,-123.143487
Chilco & Barclay,CRAFT Beer Market English Bay,596,49.286629,-123.14221
Chilco & Barclay,The Bubble Tea Shop,570,49.290062,-123.133499
Chilco & Barclay,Whole Foods,595,49.290103,-123.132772
Chilco & Barclay,Eye Kandee Lingerie,650,49.286089,-123.139811
Chilco & Barclay,Cardero Bottega,651,49.287092,-123.135598
Chilco & Barclay,Saku,677,49.291333,-123.134825
Chilco & Barclay,Red Umbrella Cafe,625,49.286418,-123.140245
Chilco & Barclay,Outdoor Movies by Fresh Air Cinemas,690,49.294718,-123.148906
Chilco & Barclay,Greenhorn Cafe,760,49.286624,-123.133935
Chilco & Barclay,Second Beach,791,49.295623,-123.150768
Chilco & Barclay,Sura,740,49.288894,-123.131696
Chilco & Barclay,Pappa Roti,793,49.28892,-123.13113
Chilco & Barclay,Second Beach Pool,840,49.295495,-123.150919
Chilco & Barclay,The Inukshuk,869,49.284303,-123.143552
