bike_station_name,poi_name,distance,latitude,longitude
Chilco & Barclay,Kingyo,295.7763124661528,49.29073911099211,-123.13705023185994
Chilco & Barclay,Guu with Garlic,523.400945677947,49.290249,-123.1338142
Chilco & Barclay,Robba da Matti West End,154.68696535700116,49.29172,-123.13857
Chilco & Barclay,Zakkushi on Denman,333.2165194581223,49.291208,-123.136248
Chilco & Barclay,Peaked Pies,296.35265555385354,49.2896489,-123.1384797
Chilco & Barclay,Tavola,363.119817512944,49.2918164,-123.1357186
Chilco & Barclay,Maruhachi Ra-men,551.2316341507952,49.2905691,-123.1333951
Chilco & Barclay,Saku,677.1325247039565,49.289223,-123.132266
Chilco & Barclay,Ukrainian Village,358.87313945413865,49.2914123,-123.1358196
Chilco & Barclay,Jingle Bao,421.65956698842365,49.291609,-123.134917
St George & Broadway,The Farmhouse,298.18144136739915,49.26185879464837,-123.09710762514682
St George & Broadway,Pizzeria Barbarella,234.51396165672,49.262323801504,-123.08982824163
St George & Broadway,Fassil Ethiopian Restaurant,343.17836542693806,49.262316686122,-123.08833077466
St George & Broadway,AJ's Brooklyn Pizza Joint,386.99622814149893,49.2629437687572,-123.098307028413
St George & Broadway,L'atelier Patisserie,130.09586839860535,49.262649277632505,-123.09133920302548
St George & Broadway,Anh and Chi,989.5707492769178,49.2550314422938,-123.100882202153
St George & Broadway,Sprezzatura,354.6318209118173,49.2613547,-123.0978287
St George & Broadway,Osteria Savio Volpe,558.7514279389321,49.2574913,-123.0909344
St George & Broadway,Kin Kao Song,409.8096913026388,49.2629749,-123.0986667
St George & Broadway,Les Faux Bourgeois,609.199287864315,49.2572813531481,-123.089767330802
Britannia Parking Lot,Lunch Lady,208.56830438281096,49.27497,-123.06915
Britannia Parking Lot,Absinthe Bistro,191.16433161748293,49.27607,-123.0692457
Britannia Parking Lot,Downlow Chicken Shack,162.45770447137693,49.2765067,-123.0696349
Britannia Parking Lot,Havana,306.35170449551026,49.273708,-123.069271
Britannia Parking Lot,Sula Indian Restaurant,252.26121576176644,49.2745279,-123.0693263
Britannia Parking Lot,Kulinarya,243.98524964758224,49.2744901,-123.0693269
Britannia Parking Lot,Eternal Abundance,157.22042006287552,49.2755401,-123.0696449
Britannia Parking Lot,Kin Kao Thai Kitchen,159.57601150994125,49.276516,-123.0696335
Britannia Parking Lot,Takenaka,381.42060808650666,49.2783093,-123.0755801
Britannia Parking Lot,Bombay Kitchen and Bar,197.77633859566672,49.2753791,-123.06925001456972
Morton & Denman,España Restaurant,125.03987839358697,49.2880552,-123.1404114
Morton & Denman,Kingyo,476.1727635645001,49.29073911099211,-123.13705023185994
Morton & Denman,Cactus Club Cafe,133.22695201347622,49.28689653721021,-123.14273036
Morton & Denman,CRAFT Beer Market,136.61300266888531,49.2864807,-123.142214
Morton & Denman,Guu with Garlic,636.1656816567984,49.290249,-123.1338142
Morton & Denman,Noah's Cafe,155.2581499436045,49.28827635407216,-123.1400279
Morton & Denman,Papi's Seafood and Oyster Bar,64.93477213910042,49.2877438,-123.1413624
Morton & Denman,Café Portrait,125.12536771350479,49.2881056129168,-123.140413686633
Morton & Denman,Sylvia's Restaurant and Lounge,80.37747744332255,49.28864,-123.14242
Morton & Denman,Beeryani Indian Bistro & Bar,113.10596401801047,49.28724,-123.14124
Thornton & National,Phnom Penh,652.660730350863,49.278431,-123.098205
Thornton & National,Bodega On Main,539.6666173852245,49.27548853708847,-123.09968391901442
Thornton & National,Di Beppe,1282.3445337850646,49.28237705581659,-123.10450043738042
Thornton & National,Kozak Ukrainian Restaurant,1312.9540796046788,49.282654874794794,-123.1046559827506
Thornton & National,Chinatown BBQ,964.6423310609019,49.280294,-123.1015
Thornton & National,Bao Bei Chinese Brasserie,863.1593048778379,49.2796095312486,-123.100574596039
Thornton & National,Oyster Express,699.4197830644229,49.2792784082144,-123.097397130932
Thornton & National,Salt Chinatown,867.239423932091,49.28042301,-123.09855695
Thornton & National,The Irish Heather Shebeen,651.9085569891754,49.27845932651142,-123.09813082383894
Thornton & National,Kissa Tanto,855.7260769663748,49.2806222,-123.09811350061167
Burrard & 14th,Fable Kitchen,971.1667943828817,49.2679331,-123.149019
Burrard & 14th,Delhi 6 Indian Bistro,643.4248134253653,49.2653386,-123.1449329
Burrard & 14th,The Stable House Bistro,400.9864170056546,49.2597322720703,-123.140207185371
Burrard & 14th,Raisu,1320.5996824262738,49.2679990419609,-123.158381134272
Burrard & 14th,Au Comptoir,1242.9873855634619,49.268034328356,-123.15672487756
Burrard & 14th,Bin 4 Burger Lounge,527.5250596329356,49.25902,-123.13833
Burrard & 14th,Novo Italian,795.1993507270295,49.2666178,-123.1454221
Burrard & 14th,Chi Vegan,1007.9306727895921,49.2681947,-123.1487738
Burrard & 14th,Casereccio Foods,1004.2353999784381,49.2642,-123.15742
Burrard & 14th,Salade de Fruits Cafe,795.7309069683841,49.2655161,-123.1401237
Olympic Village Station,Saku,360.54943439976523,49.2631006,-123.11667523250104
Olympic Village Station,Seaport City Seafood Restaurant,273.2789898216345,49.263921119674905,-123.115152
Olympic Village Station,Hokkaido Ramen Santouka,363.98465960264554,49.263127,-123.1168917
Olympic Village Station,La Taqueria Pinche Taco Shop,387.6099716656628,49.263617,-123.112593
Olympic Village Station,Marulilu Cafe,353.23605916160034,49.26338,-123.11415
Olympic Village Station,The Flying Pig,1064.1754950509016,49.27501,-123.122
Olympic Village Station,Westcoast Poke,292.9893682239127,49.26409,-123.1140415
Olympic Village Station,Salmon n' Bannock,1053.4417396971407,49.2631378,-123.1296705
Olympic Village Station,Uma Sushi,324.66109039860237,49.2638048,-123.1137294
Olympic Village Station,Rodney's Oyster House,1032.56177263488,49.274326,-123.123131
8th & Macdonald,Mr. Red Cafe,182.81405118768274,49.2640755304294,-123.165913715756
8th & Macdonald,Banana Leaf,313.36033493777694,49.26439,-123.1723
8th & Macdonald,Chewie's Chicken & Biscuits,363.65601664409627,49.26809,-123.1688
8th & Macdonald,Pho Japolo,80.72698963636832,49.2642944822974,-123.168611359253
8th & Macdonald,East Is East,342.78894743686214,49.26430118353472,-123.1726934
8th & Macdonald,Tera V Burger,273.29214721847796,49.2642995,-123.1717091
8th & Macdonald,Purebread,162.04472959110302,49.26436,-123.17016
8th & Macdonald,Neverland Tea Salon,397.8575385950063,49.2640001,-123.1733634
8th & Macdonald,Nat's New York Pizzeria,195.72811513175978,49.2638609,-123.1659228
