POI Name,Category,Address,Latitude,Longitude
Beta5 Chocolates,Chocolate Store,413 Industrial Ave,49.269893,-123.095842
Finch's Market,Coffee Shop,501 Georgia St E,49.278582,-123.093335
Pizzeria Farina,Pizzeria,915 Main St,49.276561,-123.10014
Harvest Community Foods,Gourmet Store,243 Union St,49.27776,-123.098052
The Boxcar,Arts and Entertainment,917 Main St,49.276469,-123.100214
Starbucks,Coffee Shop,753 Terminal Ave,49.271053,-123.087585
Phnom Penh,Cambodian Restaurant,244 E. Georgia St,49.278403,-123.098188
The Tuck Shoppe,Bar,237 Union St,49.277791,-123.098623
Creekside Park,Restaurant,1455 Quebec St,49.274585,-123.102893
Matchstick Coffee Roasters,Café,213 Georgia St E,49.278692,-123.099348
